id,name,slug,status,twitter,twitter_handles,parent,appeal_agency,url,foia_logs,foia_guide,public_notes,absolute_url,average_response_time,fee_rate,success_rate,has_portal,has_email,has_fax,has_address,number_requests,number_requests_completed,number_requests_rejected,number_requests_no_docs,number_requests_ack,number_requests_resp,number_requests_fix,number_requests_appeal,number_requests_pay,number_requests_partial,number_requests_lawsuit,number_requests_withdrawn,jurisdiction name,jurisdiction parent,jurisdiction level,jurisdiction-level,success_category
38,United States Customs and Border Protection,bureau-of-customs-and-border-protection,approved,customsborder,,9.0,6570.0,http://cbp.gov/xp/cgov/admin/fl/foia/,,,202-344-1610,https://www.muckrock.com/agency/united-states-of-america-10/bureau-of-customs-and-border-protection-38/,332,0.0,16.0,True,False,False,True,356,55,46,36,20,114,30,10,0,4,0,40,United States of America,,f,Federal,0-25%
7,"Department of Defense, Office of the Secretary of Defense",office-of-the-secretary-of-defense,approved,,,,7143.0,http://www.dod.mil/pubs/foi/dfoipo/foiaHandbook.html,,,,https://www.muckrock.com/agency/united-states-of-america-10/office-of-the-secretary-of-defense-7/,230,1.0,26.0,True,True,False,True,307,74,41,70,0,50,15,2,1,6,0,47,United States of America,,f,Federal,26-50%
116,Food and Drug Administration,food-and-drug-administration,approved,,,,9902.0,http://www.fda.gov/RegulatoryInformation/FOI/HowtoMakeaFOIARequest/default.htm,,,,https://www.muckrock.com/agency/united-states-of-america-10/food-and-drug-administration-116/,124,1.0,37.0,True,True,True,True,284,101,23,39,3,33,50,3,1,5,0,26,United States of America,,f,Federal,26-50%
129,National Archives and Records Administration,national-archives-and-records-administration,approved,,,,,,,,,https://www.muckrock.com/agency/united-states-of-america-10/national-archives-and-records-administration-129/,131,6.0,35.0,True,True,True,True,274,93,24,42,0,44,28,1,5,3,0,34,United States of America,,f,Federal,26-50%
227,Seattle Police Department,police-department,approved,,,,,http://seattle.gov/police/records/publicdisclosure.htm,,,,https://www.muckrock.com/agency/seattle-69/police-department-227/,105,23.0,36.0,True,False,False,True,263,92,11,36,2,31,10,2,45,5,0,24,Seattle,Washington,l,Local,26-50%
102,"Department of Defense, Office of the Inspector General",dod-office-of-the-inspector-general,approved,,,,7127.0,http://www.dodig.mil/FOIA/submitfoia.html,,,"Appeals should be sent: 

Department of Defense, Office of Inspector General
ATTN: FOIA Appellate Authority, Suite 17F18
4800 Mark Center Drive
Alexandria, VA 22350-1500",https://www.muckrock.com/agency/united-states-of-america-10/dod-office-of-the-inspector-general-102/,434,0.0,55.0,True,True,False,True,259,143,20,36,0,28,12,4,0,1,0,15,United States of America,,f,Federal,51-75%
274,Massachusetts State Police,massachusetts-state-police,approved,,,,330.0,http://www.mass.gov/eopss/contact-us.html#a16,,,,https://www.muckrock.com/agency/massachusetts-1/massachusetts-state-police-274/,87,11.0,33.0,False,True,True,True,252,80,42,37,17,10,18,3,12,5,0,28,Massachusetts,United States of America,s,State,26-50%
15,Department of Energy,us-department-of-energy,approved,,,,,http://management.energy.gov/foia_pa.htm,,,,https://www.muckrock.com/agency/united-states-of-america-10/us-department-of-energy-15/,204,0.0,36.0,True,True,True,True,248,82,4,34,0,42,48,0,1,8,0,29,United States of America,,f,Federal,26-50%
71,United States Secret Service,united-states-secret-service,approved,secretservice,,9.0,,,,,"Appeals should be sent to:

Freedom of Information Appeal
Deputy Director, U.S. Secret Service
Communications Center 
245 Murray Lane, S.W., Building T-5
Washington, D.C. 20223",https://www.muckrock.com/agency/united-states-of-america-10/united-states-secret-service-71/,492,0.0,29.0,True,False,False,True,242,72,21,61,0,40,15,2,1,0,0,29,United States of America,,f,Federal,26-50%
182,U.S. Citizenship and Immigration Services,us-citizenship-and-immigration-services,approved,,,9.0,,,http://www.uscis.gov/USCIS/About%20Us/FOIA/uscisfoiarequestguide(10).pdf,,,https://www.muckrock.com/agency/united-states-of-america-10/us-citizenship-and-immigration-services-182/,191,2.0,18.0,True,True,True,True,242,44,20,15,7,85,36,5,2,1,0,25,United States of America,,f,Federal,0-25%
237,Internal Revenue Service,internal-revenue-service,approved,,"irstaxpros
irsnews",,6424.0,http://www.irs.gov/uac/IRS-Freedom-of-Information,,,,https://www.muckrock.com/agency/united-states-of-america-10/internal-revenue-service-237/,112,0.0,22.0,False,False,False,True,241,53,60,22,6,20,26,4,0,1,0,49,United States of America,,f,Federal,0-25%
168,Department of Justice - FOIA/PA Mail Referral Unit,department-of-justice,approved,,,,5123.0,http://www.justice.gov/oip/foia-request.html#2,,,,https://www.muckrock.com/agency/united-states-of-america-10/department-of-justice-168/,298,2.0,16.0,True,True,False,True,227,36,17,28,11,64,33,1,2,1,0,34,United States of America,,f,Federal,0-25%
265,Los Angeles Police Department,los-angeles-police-department,approved,,,,6689.0,http://www.lapdonline.org/home/content_basic_view/363294,,,,https://www.muckrock.com/agency/los-angeles-91/los-angeles-police-department-265/,158,4.0,19.0,True,True,False,True,223,42,35,64,9,34,18,0,4,2,0,13,Los Angeles,California,l,Local,0-25%
41,Bureau of Prisons,bureau-of-prisons,approved,,,,,,,,,https://www.muckrock.com/agency/united-states-of-america-10/bureau-of-prisons-41/,232,3.0,21.0,False,True,False,True,197,39,27,31,5,42,17,3,4,3,0,26,United States of America,,f,Federal,0-25%
4122,"Department of Justice, Executive Office for Immigration Review",department-justice-executive-office-immigration-review,approved,,,,,http://www.justice.gov/eoir/mainfoia.html,,,,https://www.muckrock.com/agency/united-states-of-america-10/department-justice-executive-office-immigration-review-4122/,112,0.0,48.0,False,True,False,True,195,88,12,17,2,35,9,20,0,6,0,5,United States of America,,f,Federal,26-50%
86,Air Force,air-force,approved,,,,8539.0,http://www.foia.af.mil/,,,,https://www.muckrock.com/agency/united-states-of-america-10/air-force-86/,245,1.0,22.0,True,True,False,True,185,41,13,30,6,48,11,1,1,1,0,29,United States of America,,f,Federal,0-25%
83,Department of Treasury,department-of-treasury,approved,,,,7822.0,,,,,https://www.muckrock.com/agency/united-states-of-america-10/department-of-treasury-83/,185,3.0,25.0,False,False,True,True,183,45,34,16,6,23,31,3,0,1,0,24,United States of America,,f,Federal,0-25%
119,U.S. Department of Veterans Affairs,department-of-veterans-affairs,approved,,,,,,,,"<img src=""https://cdn.muckrock.com/news_photos/2019/06/30/VA.png"">",https://www.muckrock.com/agency/united-states-of-america-10/department-of-veterans-affairs-119/,185,0.0,31.0,False,True,False,False,178,52,7,23,15,12,44,1,0,4,0,20,United States of America,,f,Federal,26-50%
74,Department of Health and Human Services,department-of-health-and-human-services,approved,,,,,,,,,https://www.muckrock.com/agency/united-states-of-america-10/department-of-health-and-human-services-74/,210,0.0,18.0,False,False,False,True,175,32,6,22,36,49,22,0,0,1,0,7,United States of America,,f,Federal,0-25%
